NO.,NO.,检测项,检测内容,涉及图层,涉及字段,规则,备注,,
5,5.1,孤立性检查,SITE图层PM类型与ZPM图层双向孤立性检查,"SITE
ZPM",,1、孤立性校验：SITE图层(TYPE=PM)与ZPM图层的元素双向对应，关系为SITE.CODE=ZPM.CODE,6.3的前提条件,,
,5.2,,SITE图层PM类型元素与BOITE图层PBO类型主从双向孤立性检查,"SITE
BOITE",,1、主从孤立性校验：BOITE图层中的PBO（TYPE=PBO）元素与SITE图层中的CODE字段双向对应，对应关系为BOITE.REF_PM=SITE.CODE,6.4的前提条件,,
,5.3,,SITE图层PM类型元素与CABLE图层DISTRIBUTION类型主从双向孤立性检查,"SITE
CABLE",,1、主从孤立性校验：CABLE图层中的元素（TYPE_CABLE=DISTRIBUTION）与SITE图层中的CODE字段双向对应，对应关系为CABLE.REF_PM=SITE.CODE,6.5的前提条件,,
,5.4,,CABLE首尾端点与BOITE图层元素做双向孤立性检查,"CABLE
SITE
BOITE","BOITE.TYPE
BOITE.CODE
SITE.CODE
CABLE.ORIGINE
CABLE.EXTREMITE","1、正向孤立性校验：CABLE图层中(TYPE_CABLE=""DISTRIBUTION"")的ORIGINE、EXTREMITE两个字段值分别对BOITE图层中的BPE,PBO元素CODE值与做正向向孤立性检查,如果BOITE图层中没有，在SITE图层中查找PM类型元素
2、逆向孤立性校验-1:
SITE图层中(PM)的CODE值，在CABLE（TYPE_CABLE=""DISTRIBUTION""的ORIGINE/EXTREMITE字段中至少出现一次
3、逆向孤立性校验-2：
SITE图层中的PM元素，BOITE图层中的BPE OR PBO元素的CODE值，在CABLE（TYPE_CABLE=""DISTRIBUTION""的ORIGINE/EXTREMITE字段中至少出现一次",6.6的前提条件,,
6,6.1,几何检测,1.同一范围图层下的几何图形不得交叉重叠,ZNRO,,同一个图层内，任意两个边形区域不能有重叠区域，但可以共边，共端点（相切）,,,
,6.2,,,ZPM,,同一个图层内，任意两个边形区域不能有重叠区域，但可以共边，共端点（相切）,,,
,6.3,,2.点图层SITE中的CODE（光交箱）必须位于相应的范围图层内（ZPM）,SITE,"SITE.TYPE
SITE.CODE
ZPM.CODE",1、SITE图层中PM元素（光交箱）(TYPE=PM)的坐标，必须在ZPM图层中其对应多边形的几何范围内,,,
,6.4,,3.每个PM范围下的PBO和cable必须位于相应的PM范围内,BOITE,"BOITE.REF_PM
ZPM.CODE","
1、BOITE图层中PBO元素的坐标，必须在其归属的ZPM多边形的几何范围内
（BOITE.REF_PM=SITE.CODE=ZPM.CODE）",,,
,6.5,,,CABLE,"CABLE.REF_PM
ZPM.CODE","
1、CABLE图层中每个元素的（TYPE_CABLE=DISTRIBUTION）全部端点、折点坐标必须在归属的ZPM多边形的几何范围内
（CABLE.REF_PM=SITE.CODE=ZPM.CODE）",,,
,6.6,,4.光交PM接头盒BPE和终端盒PBO必须位于光缆端点上，光缆端点必须连接这些光盒子点,CABLE,"CABLE.ORIGINE
CABLE.EXTREMITE
BOITE.CODE","1、CABLE中同一个元素的ORIGINE、EXTREMITE值不能相等
2、CABLE中的元素的ORIGINE、EXTREMITE值对应的BOITE图层中的元素(CABLE.ORIGINE=BOITE.CODE, CABLE.EXTREMITE=BOITE.CODE)的坐标必须该线元素的任意端点(起始点or结束点）坐标重合(对CABLE绘制的方向具有兼容性）",,,
7,7.1,数据检测,1.PBO覆盖范围内的HP不得大于PBO的端口数,BOITE,"BOITE.TYPE
BOITE.NB_FIBRE_UTIL
BOITE.CAPACITE",1、BOITE图层中PBO元素（TYPE=PBO）的NB_FIBRE_UTIL字段值（设计覆盖入户数），不得大于BOITE图层中其对应PBO元素CAPACITE值（盒子的可用最大端口数）的数字部分,,,
,7.2,,2.PM覆盖范围内的PBO端口(CAPACITE)之和不得大于以PM为起点的线缆芯数（(CAPACITE)）总和,"PM
BOITE
CABLE","SITE.CODE
BOITE.CODE
BOITE.CAPACITE
CABLE.ORIGINE
CABLE.TYPE_CABLE
CABLE.CAPACITE","1、SITE图层里，每个PM覆盖范围内的PBO端口(CAPACITE)之和
2、计算CABLE符合条件的数据的芯数总和（CABLE.ORIGINE=SITE.CODE and CABLE.TYPE_CABLE=DISTRIBUTION)
3、(1)<=(2)",,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
